Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,EnvironmentVariables,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Field,Mean,Error,StdDev,Median
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:0 originalSize:100, methodArgument:10)",102.5 us,2.035 us,5.741 us,102.0 us
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:0 originalSize:100, methodArgument:10)",125.7 us,3.324 us,9.644 us,125.1 us
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:0 originalSize:100, methodArgument:50)",464.2 us,22.443 us,64.753 us,444.5 us
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:0 originalSize:100, methodArgument:50)",516.3 us,24.766 us,73.024 us,512.4 us
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:0 originalSize:100, methodArgument:90)",795.2 us,32.909 us,93.892 us,779.7 us
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:0 originalSize:100, methodArgument:90)",810.5 us,27.386 us,79.885 us,805.0 us
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:0 originalSize:1000, methodArgument:100)",949.2 us,42.687 us,122.476 us,929.4 us
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:0 originalSize:1000, methodArgument:100)",931.2 us,48.893 us,142.623 us,899.9 us
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:0 originalSize:1000, methodArgument:500)","4,429.2 us",218.320 us,626.401 us,"4,281.4 us"
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:0 originalSize:1000, methodArgument:500)","4,231.0 us",131.879 us,378.385 us,"4,154.0 us"
