Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,EnvironmentVariables,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Field,Mean,Error,StdDev
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:42046, originalSize:10000, curCapacity:43627, newSize:1000, ResizeTo:21023)",10.006 ms,0.1963 ms,0.1837 ms
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:42046, originalSize:10000, curCapacity:43627, newSize:1000, ResizeTo:21023)",9.970 ms,0.1099 ms,0.0974 ms
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:42046, originalSize:10000, curCapacity:43627, newSize:5000, ResizeTo:21023)",47.936 ms,0.9076 ms,0.8490 ms
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:42046, originalSize:10000, curCapacity:43627, newSize:5000, ResizeTo:21023)",48.075 ms,0.2181 ms,0.1934 ms
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:42046, originalSize:10000, curCapacity:43627, newSize:9000, ResizeTo:21023)",89.538 ms,0.7304 ms,0.6832 ms
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:42046, originalSize:10000, curCapacity:43627, newSize:9000, ResizeTo:21023)",89.765 ms,0.6534 ms,0.6112 ms
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:450614, originalSize:100000, curCapacity:467237, newSize:10000, ResizeTo:225307)",100.653 ms,0.5113 ms,0.4533 ms
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:450614, originalSize:100000, curCapacity:467237, newSize:10000, ResizeTo:225307)",101.261 ms,0.8737 ms,0.6821 ms
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:450614, originalSize:100000, curCapacity:467237, newSize:50000, ResizeTo:225307)",509.139 ms,2.2903 ms,1.9125 ms
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:450614, originalSize:100000, curCapacity:467237, newSize:50000, ResizeTo:225307)",512.562 ms,2.7323 ms,2.4221 ms
ResizeNew,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:450614, originalSize:100000, curCapacity:467237, newSize:90000, ResizeTo:225307)",923.998 ms,19.5206 ms,16.3006 ms
ResizeOld,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"(ZombiesAreScattered startCapacity:450614, originalSize:100000, curCapacity:467237, newSize:90000, ResizeTo:225307)",925.274 ms,2.0405 ms,1.7039 ms
